Pair Number,System A,System B,BLEU Score A,BLEU p-value A,BLEU Mean A,BLEU CI A,BLEU Score B,BLEU p-value B,BLEU Mean B,BLEU CI B,BLEU p-value B Adjusted
829,Baseline: results/rethinking/evaluation_logs/model-save-dir-55/clean.result,results/rethinking/evaluation_logs/model-save-dir-24/clean.result,38.423128461277166,,38.41868658031148,0.5146032340631912,38.32557938132232,0.1678321678321678,38.319444988186106,0.5188787119038807,0.29681978798586567
830,Baseline: results/rethinking/evaluation_logs/model-save-dir-55/clean.result,results/rethinking/evaluation_logs/model-save-dir-9/clean.result,38.423128461277166,,38.41868658031148,0.5146032340631912,38.39451071202037,0.3216783216783216,38.38906432957102,0.5013606985403953,0.3663253697383389
831,Baseline: results/rethinking/evaluation_logs/model-save-dir-55/clean.result,results/rethinking/evaluation_logs/model-save-dir-30/clean.result,38.423128461277166,,38.41868658031148,0.5146032340631912,38.18152713299166,0.0489510489510489,38.17196543868778,0.5084744121147686,0.22685185185185164
832,Baseline: results/rethinking/evaluation_logs/model-save-dir-55/clean.result,results/rethinking/evaluation_logs/model-save-dir-60/clean.result,38.423128461277166,,38.41868658031148,0.5146032340631912,38.442410808749855,0.3436563436563437,38.43797233394452,0.523524335411313,0.37829912023460416
833,Baseline: results/rethinking/evaluation_logs/model-save-dir-55/clean.result,results/rethinking/evaluation_logs/model-save-dir-54/clean.result,38.423128461277166,,38.41868658031148,0.5146032340631912,38.31441350308077,0.1558441558441558,38.31200937760828,0.4952801725891014,0.2905027932960893
834,Baseline: results/rethinking/evaluation_logs/model-save-dir-55/clean.result,results/rethinking/evaluation_logs/model-save-dir-77/clean.result,38.423128461277166,,38.41868658031148,0.5146032340631912,38.22328719464631,0.0589410589410589,38.21746699762816,0.5212062615951574,0.2427983539094649
835,Baseline: results/rethinking/evaluation_logs/model-save-dir-55/clean.result,results/rethinking/evaluation_logs/model-save-dir-3/clean.result,38.423128461277166,,38.41868658031148,0.5146032340631912,36.96989867396298,0.0009990009990009,36.97068639781776,0.5079032452510965,0.029411764705879435
836,Baseline: results/rethinking/evaluation_logs/model-save-dir-55/clean.result,results/rethinking/evaluation_logs/model-save-dir-28/clean.result,38.423128461277166,,38.41868658031148,0.5146032340631912,38.16724178496308,0.0339660339660339,38.15740623469173,0.4952756835663479,0.19883040935672475
837,Baseline: results/rethinking/evaluation_logs/model-save-dir-55/clean.result,results/rethinking/evaluation_logs/model-save-dir-67/clean.result,38.423128461277166,,38.41868658031148,0.5146032340631912,38.519177347700456,0.1588411588411588,38.51692736379129,0.5018022103546258,0.29263803680981587
838,Baseline: results/rethinking/evaluation_logs/model-save-dir-55/clean.result,results/rethinking/evaluation_logs/model-save-dir-22/clean.result,38.423128461277166,,38.41868658031148,0.5146032340631912,38.68587758546364,0.0339660339660339,38.6793193954998,0.5212924876045371,0.19883040935672475
