Pair Number,System A,System B,BLEU Score A,BLEU p-value A,BLEU Mean A,BLEU CI A,BLEU Score B,BLEU p-value B,BLEU Mean B,BLEU CI B
36,Baseline: results/rethinking/evaluation_logs/model-save-dir-5/clean.result,results/rethinking/evaluation_logs/model-save-dir-34/clean.result,38.512926110111074,,38.50436929198643,0.5339079467856784,38.54476155534717,0.3146853146853147,38.54169472987457,0.5170078486808194
37,Baseline: results/rethinking/evaluation_logs/model-save-dir-5/clean.result,results/rethinking/evaluation_logs/model-save-dir-49/clean.result,38.512926110111074,,38.50436929198643,0.5339079467856784,38.16504348980167,0.007992007992007992,38.157851373711146,0.5131515311014461
38,Baseline: results/rethinking/evaluation_logs/model-save-dir-5/clean.result,results/rethinking/evaluation_logs/model-save-dir-51/clean.result,38.512926110111074,,38.50436929198643,0.5339079467856784,38.43559864451429,0.19080919080919082,38.43243335290803,0.5111779143051081
39,Baseline: results/rethinking/evaluation_logs/model-save-dir-5/clean.result,results/rethinking/evaluation_logs/model-save-dir-68/clean.result,38.512926110111074,,38.50436929198643,0.5339079467856784,38.3282046338724,0.09090909090909091,38.32329993959571,0.5306963719428062
40,Baseline: results/rethinking/evaluation_logs/model-save-dir-5/clean.result,results/rethinking/evaluation_logs/model-save-dir-75/clean.result,38.512926110111074,,38.50436929198643,0.5339079467856784,38.51478816145098,0.42157842157842157,38.51500744488086,0.5010534388412609
41,Baseline: results/rethinking/evaluation_logs/model-save-dir-5/clean.result,results/rethinking/evaluation_logs/model-save-dir-16/clean.result,38.512926110111074,,38.50436929198643,0.5339079467856784,38.42903020351191,0.1838161838161838,38.42521493511664,0.498462462363193
42,Baseline: results/rethinking/evaluation_logs/model-save-dir-5/clean.result,results/rethinking/evaluation_logs/model-save-dir-19/clean.result,38.512926110111074,,38.50436929198643,0.5339079467856784,38.36102779845333,0.1068931068931069,38.35161089695567,0.5056317084109949
43,Baseline: results/rethinking/evaluation_logs/model-save-dir-5/clean.result,results/rethinking/evaluation_logs/model-save-dir-10/clean.result,38.512926110111074,,38.50436929198643,0.5339079467856784,38.38360178604212,0.13586413586413587,38.375105853898596,0.5023746707049028
44,Baseline: results/rethinking/evaluation_logs/model-save-dir-5/clean.result,results/rethinking/evaluation_logs/model-save-dir-62/clean.result,38.512926110111074,,38.50436929198643,0.5339079467856784,38.4990846866827,0.3876123876123876,38.48992039323673,0.5013823599276712
45,Baseline: results/rethinking/evaluation_logs/model-save-dir-5/clean.result,results/rethinking/evaluation_logs/model-save-dir-76/clean.result,38.512926110111074,,38.50436929198643,0.5339079467856784,38.29727556281856,0.04895104895104895,38.29483314973161,0.49762510480912425
46,Baseline: results/rethinking/evaluation_logs/model-save-dir-5/clean.result,results/rethinking/evaluation_logs/model-save-dir-52/clean.result,38.512926110111074,,38.50436929198643,0.5339079467856784,38.427617727400325,0.18281718281718282,38.421507662482426,0.49957778707974043
47,Baseline: results/rethinking/evaluation_logs/model-save-dir-5/clean.result,results/rethinking/evaluation_logs/model-save-dir-8/clean.result,38.512926110111074,,38.50436929198643,0.5339079467856784,38.324037168168815,0.07892107892107893,38.31497357813598,0.5109807590402724
48,Baseline: results/rethinking/evaluation_logs/model-save-dir-5/clean.result,results/rethinking/evaluation_logs/model-save-dir-24/clean.result,38.512926110111074,,38.50436929198643,0.5339079467856784,38.325579381322314,0.07292707292707293,38.319444988186106,0.5188787119038807
49,Baseline: results/rethinking/evaluation_logs/model-save-dir-5/clean.result,results/rethinking/evaluation_logs/model-save-dir-9/clean.result,38.512926110111074,,38.50436929198643,0.5339079467856784,38.39451071202037,0.14385614385614387,38.38906432957102,0.5013606985403953
50,Baseline: results/rethinking/evaluation_logs/model-save-dir-5/clean.result,results/rethinking/evaluation_logs/model-save-dir-30/clean.result,38.512926110111074,,38.50436929198643,0.5339079467856784,38.18152713299166,0.00999000999000999,38.17196543868778,0.5084744121147686
51,Baseline: results/rethinking/evaluation_logs/model-save-dir-5/clean.result,results/rethinking/evaluation_logs/model-save-dir-60/clean.result,38.512926110111074,,38.50436929198643,0.5339079467856784,38.442410808749855,0.2057942057942058,38.43797233394452,0.523524335411313
52,Baseline: results/rethinking/evaluation_logs/model-save-dir-5/clean.result,results/rethinking/evaluation_logs/model-save-dir-54/clean.result,38.512926110111074,,38.50436929198643,0.5339079467856784,38.31441350308077,0.06793206793206794,38.31200937760828,0.4952801725891014
53,Baseline: results/rethinking/evaluation_logs/model-save-dir-5/clean.result,results/rethinking/evaluation_logs/model-save-dir-77/clean.result,38.512926110111074,,38.50436929198643,0.5339079467856784,38.22328719464631,0.01998001998001998,38.21746699762816,0.5212062615951574
54,Baseline: results/rethinking/evaluation_logs/model-save-dir-5/clean.result,results/rethinking/evaluation_logs/model-save-dir-3/clean.result,38.512926110111074,,38.50436929198643,0.5339079467856784,36.96989867396298,0.000999000999000999,36.97068639781776,0.5079032452510965
55,Baseline: results/rethinking/evaluation_logs/model-save-dir-5/clean.result,results/rethinking/evaluation_logs/model-save-dir-28/clean.result,38.512926110111074,,38.50436929198643,0.5339079467856784,38.167241784963075,0.008991008991008992,38.15740623469173,0.4952756835663479
56,Baseline: results/rethinking/evaluation_logs/model-save-dir-5/clean.result,results/rethinking/evaluation_logs/model-save-dir-67/clean.result,38.512926110111074,,38.50436929198643,0.5339079467856784,38.519177347700456,0.4065934065934066,38.51692736379129,0.5018022103546258
57,Baseline: results/rethinking/evaluation_logs/model-save-dir-5/clean.result,results/rethinking/evaluation_logs/model-save-dir-22/clean.result,38.512926110111074,,38.50436929198643,0.5339079467856784,38.685877585463636,0.08791208791208792,38.6793193954998,0.5212924876045371
58,Baseline: results/rethinking/evaluation_logs/model-save-dir-5/clean.result,results/rethinking/evaluation_logs/model-save-dir-45/clean.result,38.512926110111074,,38.50436929198643,0.5339079467856784,38.247411369801675,0.023976023976023976,38.24302101788111,0.5027902805170115
